"Snapdragon 8 Elite (Gen 4)
"Helio G92 Max
MediaTek","26
 C",222969,441 / 1407,"8
 (2+6)",2000 MHz,Mali-G52 MP2
"Exynos 8895
Samsung","29
 C",377103,418 / 1429,"8
 (4+4)",2314 MHz,Mali-G71 MP20
"Helio G91
MediaTek","26
 C",276628,429 / 1389,"8
 (2+6)",2000 MHz,Mali-G52 MP2
"Helio G81
MediaTek","25
 C",256639,420 / 1391,"8
 (2+6)",2000 MHz,Mali-G52 MP2
"Snapdragon 710
Qualcomm","27
 C",305175,445 / 1352,"8
 (2+6)",2200 MHz,Adreno 616
"Helio P90
MediaTek","26
 C",300868,414 / 1373,"8
 (2+6)",2200 MHz,PowerVR GM9446
"Kirin 960
HiSilicon","23
 D",289944,406 / 1380,"8
 (4+4)",2360 MHz,Mali-G71 MP8
"Helio G88
MediaTek","25
 C",268893,425 / 1355,"8
 (2+6)",2000 MHz,Mali-G52 MP2
"Helio G80
MediaTek","25
 C",246838,416 / 1354,"8
 (2+6)",2000 MHz,Mali-G52 MP2
"Helio G70
MediaTek","25
 C",246700,417 / 1345,"8
 (2+6)",2000 MHz,Mali-G52 MP2
"Unisoc T606
Unisoc","24
 D",246197,371 / 1391,"8
 (2+6)",1600 MHz,Mali-G57 MP1
"Kirin 970
HiSilicon","27
 C",353467,383 / 1373,"8
 (4+4)",2360 MHz,Mali-G72 MP12
"Helio G85
MediaTek","25
 C",262804,413 / 1332,"8
 (2+6)",2000 MHz,Mali-G52 MP2
"Tiger T610
Unisoc","24
 D",250277,418 / 1305,"8
 (2+6)",1820 MHz,Mali-G52 MP2
"Snapdragon 670
Qualcomm","26
 C",250172,381 / 1239,"8
 (2+6)",2000 MHz,Adreno 615
"Kirin 710F
HiSilicon","24
 D",251249,352 / 1244,"8
 (4+4)",2200 MHz,Mali-G51 MP4
"Snapdragon 660
Qualcomm","22
 D",251675,342 / 1232,"8
 (4+4)",2200 MHz,Adreno 512
"Apple A9
Apple","26
 C",332764,619 / 953,"2
 (2)",1850 MHz,PowerVR GT7600
"Helio P65
MediaTek","24
 D",201635,375 / 1186,"8
 (2+6)",2000 MHz,Mali-G52 MP2
